total_mass_source chirp_mass_source mass_ratio chi_eff
3.3569 1.4270 0.6713 0.0220
3.3111 1.4405 0.9449 0.0087
3.3304 1.4385 0.7973 0.0251
3.3012 1.4283 0.8178 0.0196
3.2865 1.4304 0.9806 0.0187
3.3402 1.4476 0.8438 0.0209
3.3463 1.4524 0.8705 0.0039
3.2648 1.4143 0.8359 0.0251
3.3544 1.4599 0.9690 0.0237
3.2717 1.4240 0.9862 0.0006
3.2796 1.4269 0.9486 0.0048
3.3584 1.4438 0.7498 0.0219
3.3545 1.4566 0.8801 0.0114
3.2631 1.4194 0.9354 0.0135
3.3218 1.4366 0.8129 0.0244
3.3305 1.4430 0.8393 0.0101
3.3095 1.4383 0.9032 0.0057
3.3556 1.4286 0.6798 0.0273
3.3712 1.4529 0.7729 0.0192
3.2833 1.4286 0.9502 0.0139
3.3100 1.4330 0.8268 0.0150
3.3440 1.4495 0.8460 0.0243
3.2790 1.4270 0.9629 -0.0015
3.2822 1.4232 0.8524 0.0180
3.3118 1.4393 0.9022 0.0125
3.3377 1.4458 0.8355 0.0215
3.2872 1.4305 0.9619 0.0126
3.3166 1.4420 0.9164 0.0039
3.3189 1.4343 0.8036 0.0099
3.2647 1.4200 0.9312 0.0114
3.3394 1.4497 0.8743 0.0205
3.2981 1.4350 0.9513 0.0155
3.2700 1.4233 0.9895 0.0085
3.3212 1.4407 0.8596 0.0090
3.2934 1.4329 0.9476 0.0059
3.2711 1.4157 0.8229 0.0180
3.2887 1.4293 0.9027 0.0074
3.3317 1.4491 0.9330 0.0195
3.2799 1.4275 0.9764 0.0039
3.2555 1.4148 0.9018 0.0142
3.3728 1.4630 0.8584 0.0037
3.2642 1.4208 0.9895 0.0085
3.3281 1.4484 0.9713 0.0031
3.2588 1.4183 0.9731 -0.0115
3.2965 1.4347 0.9690 0.0174
3.3315 1.4461 0.8731 0.0083
3.2908 1.4311 0.9252 0.0176
3.3286 1.4483 0.9504 0.0054
3.3016 1.4343 0.8922 0.0045
3.3123 1.4417 0.9794 0.0140
3.3257 1.4425 0.8575 0.0302
3.3739 1.4589 0.8107 0.0145
3.3011 1.4360 0.9367 0.0088
3.3074 1.4367 0.8892 0.0205
3.2934 1.4325 0.9316 0.0088
3.2745 1.4235 0.9123 0.0177
3.3546 1.4594 0.9417 0.0033
3.2882 1.4312 0.9771 0.0213
3.3421 1.4493 0.8540 0.0135
3.3054 1.4340 0.8618 0.0129
3.3387 1.4490 0.8703 0.0248
3.2623 1.4200 0.9994 -0.0011
3.2712 1.4202 0.8769 0.0082
3.3018 1.4217 0.7642 0.0323
3.3605 1.4620 0.9430 0.0096
3.2872 1.4305 0.9588 0.0178
3.3229 1.4413 0.8583 0.0145
3.3053 1.4385 0.9718 0.0096
3.3543 1.4593 0.9430 0.0111
3.3372 1.4524 0.9718 0.0153
3.2872 1.4272 0.8788 0.0042
3.2980 1.4295 0.8454 0.0144
3.3124 1.4368 0.8594 0.0121
3.3214 1.4411 0.8633 0.0162
3.2811 1.4268 0.9241 -0.0007
3.2934 1.4294 0.8699 0.0073
3.2755 1.4183 0.8296 0.0285
3.3210 1.4453 0.9653 0.0096
3.3525 1.4587 0.9517 0.0014
3.2838 1.4291 0.9667 0.0089
3.2948 1.4300 0.8712 0.0181
3.2854 1.4300 0.9849 0.0121
3.3169 1.4408 0.8892 0.0271
3.3290 1.4488 0.9701 0.0111
3.2996 1.4343 0.9097 -0.0012
3.3331 1.4449 0.8482 0.0130
3.2866 1.4251 0.8528 0.0313
3.3329 1.4339 0.7565 0.0214
3.3077 1.4299 0.8068 0.0242
3.2889 1.4259 0.8498 0.0084
3.3287 1.4435 0.8534 0.0024
3.3204 1.4435 0.9136 0.0272
3.3699 1.4536 0.7820 0.0238
3.2836 1.4190 0.8028 0.0231
3.3170 1.4429 0.9384 0.0138
3.2652 1.4195 0.9120 0.0107
3.2691 1.4229 0.9834 0.0169
3.3113 1.4410 0.9622 0.0078
3.3208 1.4453 0.9730 -0.0035
3.3165 1.4385 0.8575 0.0098
3.3784 1.4675 0.8900 0.0029
3.3198 1.4407 0.8672 0.0245
3.3340 1.4508 0.9578 0.0104
3.3154 1.4404 0.8934 0.0142
3.3166 1.4430 0.9479 0.0163
3.3013 1.4273 0.8083 0.0151
3.3331 1.4397 0.7977 0.0079
3.3000 1.4355 0.9381 0.0053
3.3786 1.4509 0.7405 0.0260
3.2692 1.4192 0.8746 0.0064
3.3086 1.4401 0.9806 0.0015
3.2400 1.4078 0.8980 0.0005
3.3441 1.4556 0.9926 0.0125
3.3128 1.4362 0.8484 0.0167
3.3516 1.4587 0.9743 0.0016
3.2706 1.4139 0.8071 0.0094
3.3237 1.4465 0.9684 0.0070
3.3517 1.4548 0.8716 0.0193
3.3637 1.4579 0.8445 0.0225
3.3133 1.4369 0.8550 0.0155
3.3077 1.4302 0.8096 0.0208
3.2665 1.4218 0.9867 0.0206
3.3425 1.4520 0.8899 0.0071
3.2913 1.4288 0.8747 0.0205
3.3533 1.4565 0.8881 0.0109
3.2689 1.4204 0.8978 0.0144
3.2915 1.4141 0.7440 0.0159
3.3375 1.4509 0.9125 0.0061
3.3437 1.4495 0.8474 0.0037
3.3332 1.4482 0.8949 0.0114
3.2914 1.4320 0.9437 0.0291
3.3037 1.4300 0.8238 0.0090
3.2639 1.4129 0.8255 0.0021
3.2911 1.4315 0.9332 0.0147
3.3222 1.4460 0.9841 0.0060
3.3381 1.4354 0.7518 0.0266
3.2693 1.4206 0.8991 0.0125
3.3084 1.4392 0.9385 0.0038
